key	result
阿尔及尔	[ [ "阿尔及尔" , "阿尔及利亚" , 2]]
kalibo	[ [ "卡里波" , "菲律宾" , 2]]
f	[ [ "法国" , "欧洲" , 1] , [ "佛罗伦萨" , "意大利" , 2] , [ "法兰克福" , "德国" , 2] , [ "釜山" , "韩国" , 2] , [ "芬兰" , "欧洲" , 1] , [ "梵蒂冈" , "欧洲" , 1] , [ "梵蒂冈城" , "梵蒂冈" , 2] , [ "菲律宾" , "亚洲" , 1] , [ "佛得角" , "非洲" , 1] , [ "弗罗茨瓦夫" , "波兰" , 2]]
g	[ [ "格拉纳达" , "西班牙" , 2] , [ "哥本哈根" , "丹麦" , 2] , [ "格拉斯哥" , "英国" , 2] , [ "广岛" , "日本" , 2] , [ "高尔" , "斯里兰卡" , 2] , [ "广州" , "中国" , 2] , [ "格拉茨" , "奥地利" , 2] , [ "根特" , "比利时" , 2] , [ "光州" , "韩国" , 2] , [ "歌德堡" , "德国" , 2]]
bayann	[ [ "巴彦淖尔" , "中国" , 2]]
d	[ [ "德国" , "欧洲" , 1] , [ "东京" , "日本" , 2] , [ "大阪" , "日本" , 2] , [ "杜塞尔多夫" , "德国" , 2] , [ "第戎" , "法国" , 2] , [ "丹麦" , "欧洲" , 1] , [ "迪拜" , "阿拉伯联合酋长国" , 2] , [ "大安" , "中国" , 2] , [ "大城" , "泰国" , 2] , [ "多哈" , "卡塔尔" , 2]]
e	[ [ "俄罗斯" , "欧洲" , 1] , [ "俄斯特拉发" , "捷克" , 2] , [ "恩平" , "中国" , 2] , [ "恩施" , "中国" , 2] , [ "鄂州" , "中国" , 2] , [ "恩多拉" , "赞比亚" , 2] , [ "恩德培" , "乌干达" , 2] , [ "恩高岛" , "斐济" , 2] , [ "恩海岬" , "希腊" , 2] , [ "恩卡伊" , "刚果(布)" , 2]]
bayanh	[ [ "巴颜洪格尔" , "蒙古" , 2]]
b	[ [ "巴黎" , "法国" , 2] , [ "柏林" , "德国" , 2] , [ "波尔多" , "法国" , 2] , [ "比利时" , "欧洲" , 1] , [ "芭堤雅" , "泰国" , 2] , [ "布拉格" , "捷克" , 2] , [ "芭提雅" , "泰国" , 2] , [ "比萨" , "意大利" , 2] , [ "槟城" , "马来西亚" , 2] , [ "巴西" , "南美洲" , 1]]
bayang	[ [ "巴扬内" , "莫桑比克" , 2]]
c	[ [ "冲绳" , "日本" , 2] , [ "冲绳县" , "日本" , 2] , [ "采尔马特" , "瑞士" , 2] , [ "春天" , "法国" , 2] , [ "楚格峰" , "奥地利" , 2] , [ "赤壁" , "中国" , 2] , [ "常德" , "中国" , 2] , [ "成都" , "中国" , 2] , [ "承德" , "中国" , 2] , [ "昌都" , "中国" , 2]]
puchen	[ [ "浦城" , "中国" , 2]]
圣多美和	[ [ "圣多美和普林西比" , "非洲" , 1]]
a	[ [ "奥地利" , "欧洲" , 1] , [ "爱丁堡" , "英国" , 2] , [ "安道尔" , "欧洲" , 1] , [ "阿根廷" , "南美洲" , 1] , [ "奥斯陆" , "挪威" , 2] , [ "阿联酋" , "亚洲" , 1] , [ "埃及" , "非洲" , 1] , [ "奥卢" , "芬兰" , 2] , [ "埃森" , "德国" , 2] , [ "阿伯丁" , "英国" , 2]]
n	[ [ "尼斯" , "法国" , 2] , [ "那不勒斯" , "意大利" , 2] , [ "牛津" , "英国" , 2] , [ "挪威" , "欧洲" , 1] , [ "纽约" , "美国" , 2] , [ "南法" , "法国" , 2] , [ "南京" , "中国" , 2] , [ "南特" , "法国" , 2] , [ "南希" , "法国" , 2] , [ "诺丁汉" , "英国" , 2]]
拉杰	[ [ "拉杰沙希" , "孟加拉" , 2]]
o	[ [ "噢特莱斯" , "意大利" , 2] , [ "欧云" , "毛里塔尼亚" , 2] , [ "欧瓦罗岛" , "斐济" , 2]]
l	[ [ "罗马" , "意大利" , 2] , [ "伦敦" , "英国" , 2] , [ "里昂" , "法国" , 2] , [ "卢塞恩" , "瑞士" , 2] , [ "里斯本" , "葡萄牙" , 2] , [ "洛桑" , "瑞士" , 2] , [ "洛杉矶" , "美国" , 2] , [ "琉森" , "瑞士" , 2] , [ "莱比锡" , "德国" , 2] , [ "鹿特丹" , "荷兰" , 2]]
m	[ [ "米兰" , "意大利" , 2] , [ "曼谷" , "泰国" , 2] , [ "慕尼黑" , "德国" , 2] , [ "马德里" , "西班牙" , 2] , [ "马赛" , "法国" , 2] , [ "莫斯科" , "俄罗斯" , 2] , [ "美国" , "北美洲" , 1] , [ "马来西亚" , "亚洲" , 1] , [ "马六甲" , "马来西亚" , 2] , [ "曼彻斯特" , "英国" , 2]]
j	[ [ "济州岛" , "韩国" , 2] , [ "戛纳" , "法国" , 2] , [ "捷克" , "欧洲" , 1] , [ "吉隆坡" , "马来西亚" , 2] , [ "京都" , "日本" , 2] , [ "旧金山" , "美国" , 2] , [ "剑桥" , "英国" , 2] , [ "甲米" , "泰国" , 2] , [ "江原道" , "朝鲜" , 2] , [ "吉安" , "中国" , 2]]
k	[ [ "科隆" , "德国" , 2] , [ "科尔多瓦" , "西班牙" , 2] , [ "卡尔卡松" , "法国" , 2] , [ "康提" , "斯里兰卡" , 2] , [ "科伦坡" , "斯里兰卡" , 2] , [ "克罗地亚" , "欧洲" , 1] , [ "卡罗维发利" , "捷克" , 2] , [ "开罗" , "埃及" , 2] , [ "科莫" , "意大利" , 2] , [ "凯恩斯" , "澳大利亚" , 2]]
samoy	[ [ "萨摩亚" , "大洋洲" , 1]]
h	[ [ "韩国" , "亚洲" , 1] , [ "荷兰" , "欧洲" , 1] , [ "汉堡" , "德国" , 2] , [ "汉诺威" , "德国" , 2] , [ "海牙" , "荷兰" , 2] , [ "华欣" , "泰国" , 2] , [ "海德堡" , "德国" , 2] , [ "赫尔辛基" , "芬兰" , 2] , [ "华欣七岩" , "泰国" , 2] , [ "华盛顿" , "美国" , 2]]
i	[ [ "intelaken" , "瑞士" , 2]]
w	[ [ "威尼斯" , "意大利" , 2] , [ "维也纳" , "奥地利" , 2] , [ "维罗纳" , "意大利" , 2] , [ "瓦伦西亚" , "西班牙" , 2] , [ "五渔村" , "意大利" , 2] , [ "五常" , "中国" , 2] , [ "万隆" , "印度尼西亚" , 2] , [ "温哥华" , "加拿大" , 2] , [ "维尔纽斯" , "立陶宛" , 2] , [ "乌特勒支" , "荷兰" , 2]]
v	[ [ "venice" , "意大利" , 2] , [ "verona" , "意大利" , 2]]
t	[ [ "泰国" , "亚洲" , 1] , [ "土耳其" , "亚洲" , 1] , [ "托莱多" , "西班牙" , 2] , [ "图卢兹" , "法国" , 2] , [ "坦佩雷" , "芬兰" , 2] , [ "塔斯马尼亚" , "澳大利亚" , 2] , [ "塔林" , "爱沙尼亚" , 2] , [ "台湾" , "中国" , 2] , [ "停泊岛" , "马来西亚" , 2] , [ "天鹅堡" , "德国" , 2]]
kailuwan	[ [ "凯鲁万" , "突尼斯" , 2]]
s	[ [ "首尔" , "韩国" , 2] , [ "苏黎世" , "瑞士" , 2] , [ "苏梅岛" , "泰国" , 2] , [ "塞维利亚" , "西班牙" , 2] , [ "圣保罗" , "巴西" , 2] , [ "圣彼得堡" , "俄罗斯" , 2] , [ "神户" , "日本" , 2] , [ "萨尔茨堡" , "奥地利" , 2] , [ "斯图加特" , "德国" , 2] , [ "上海" , "中国" , 2]]
r	[ [ "瑞士" , "欧洲" , 1] , [ "日内瓦" , "瑞士" , 2] , [ "日本" , "亚洲" , 1] , [ "热那亚" , "意大利" , 2] , [ "瑞典" , "欧洲" , 1] , [ "热浪岛" , "马来西亚" , 2] , [ "roma" , "意大利" , 2] , [ "日惹" , "印度尼西亚" , 2] , [ "热内亚" , "意大利" , 2] , [ "热舒夫" , "波兰" , 2]]
q	[ [ "清迈" , "泰国" , 2] , [ "清莱" , "泰国" , 2] , [ "庆州" , "韩国" , 2] , [ "青岛" , "中国" , 2] , [ "千叶" , "日本" , 2] , [ "埼玉" , "日本" , 2] , [ "迁安" , "中国" , 2] , [ "启东" , "中国" , 2] , [ "曲阜" , "中国" , 2] , [ "清河" , "中国" , 2]]
jhs	[ [ "九华山" , "中国" , 2]]
p	[ [ "普罗旺斯埃克斯" , "法国" , 2] , [ "普吉岛" , "泰国" , 2] , [ "葡萄牙" , "欧洲" , 1] , [ "普罗旺斯" , "法国" , 2] , [ "庞贝" , "意大利" , 2] , [ "皮皮岛" , "泰国" , 2] , [ "佩皮尼昂" , "法国" , 2] , [ "佩皮" , "法国" , 2] , [ "帕多瓦" , "意大利" , 2] , [ "佩鲁贾" , "意大利" , 2]]
海得拉巴	[ [ "海得拉巴" , "巴基斯坦" , 2]]
masiteli	[ [ "马斯特里赫特" , "荷兰" , 2]]
enkayi	[ [ "恩卡伊" , "刚果(布)" , 2]]
z	[ [ "中国" , "亚洲" , 1] , [ "札幌" , "日本" , 2] , [ "芝加哥" , "美国" , 2] , [ "淄博" , "中国" , 2] , [ "增城" , "中国" , 2] , [ "诸城" , "中国" , 2] , [ "邹城" , "中国" , 2] , [ "长春" , "中国" , 2] , [ "乍得" , "非洲" , 1] , [ "中甸" , "中国" , 2]]
y	[ [ "意大利" , "欧洲" , 1] , [ "英国" , "欧洲" , 1] , [ "因特拉肯" , "瑞士" , 2] , [ "约克" , "英国" , 2] , [ "雅典" , "希腊" , 2] , [ "伊瓜苏" , "巴西" , 2] , [ "伊斯坦布尔" , "土耳其" , 2] , [ "怡保" , "马来西亚" , 2] , [ "延安" , "中国" , 2] , [ "云顶" , "马来西亚" , 2]]
x	[ [ "西班牙" , "欧洲" , 1] , [ "匈牙利" , "欧洲" , 1] , [ "希腊" , "欧洲" , 1] , [ "悉尼" , "澳大利亚" , 2] , [ "小松" , "日本" , 2] , [ "新加坡" , "亚洲" , 1] , [ "夏威夷" , "美国" , 2] , [ "新西兰" , "大洋洲" , 1] , [ "夏威夷州" , "美国" , 2] , [ "夏威夷群岛" , "美国" , 2]]
bayamo	[ [ "巴亚莫" , "古巴" , 2]]
muda	[ [ "牡丹江" , "中国" , 2]]
basit	[ [ "巴斯特尔" , "圣基茨和尼维斯" , 2]]
suqiawa	[ [ "苏恰瓦" , "罗马尼亚" , 2]]
马提	[ [ "马提尼克（法）" , "北美洲" , 1] , [ "马提尼克(法属)" , "北美洲" , 1]]
阿尔约夫	[ [ "阿尔约夫" , "也门" , 2]]
anguila(yi	[ ]
beiyiliusa	[ [ "北伊柳塞拉" , "巴哈马" , 2]]
布雷达尔	[ [ "布雷达尔斯维克" , "冰岛" , 2]]
basik	[ [ "巴斯克" , "西班牙" , 2]]
dongdiwen	[ [ "东帝汶" , "亚洲" , 1] , [ "东帝汶民主共和国" , "亚洲" , 1]]
赛义德布	[ [ "赛义德布尔" , "孟加拉" , 2]]
qionglai	[ [ "邛崃" , "中国" , 2]]
达兰	[ [ "达兰扎达嘎德" , "蒙古" , 2]]
普洱	[ [ "普洱" , "中国" , 2]]
jbb	[ [ "津巴布韦" , "非洲" , 1]]
暹粒-	[ [ "暹粒-吴哥窟" , "柬埔寨" , 2]]
aedbld	[ [ "阿尔达布拉岛" , "塞舌尔" , 2]]
alblhqzg	[ [ "阿拉伯联合酋长国" , "亚洲" , 1]]
dazhou	[ [ "达州" , "中国" , 2]]
bashi	[ [ "巴士拉" , "伊拉克" , 2]]
bayama	[ [ "巴亚马雷" , "罗马尼亚" , 2]]
jbt	[ [ "吉布提" , "非洲" , 1] , [ "贾巴特" , "马绍尔群岛" , 2]]
巩义	[ [ "巩义" , "中国" , 2]]
苏滋达里	[ [ "苏滋达里" , "俄罗斯" , 2]]
huaiyi	[ [ "淮阴" , "中国" , 2]]
jxnw	[ [ "基希讷乌" , "摩尔多瓦" , 2]]
景洪	[ [ "景洪" , "中国" , 2]]
guipin	[ [ "桂平" , "中国" , 2]]
襄	[ [ "襄樊" , "中国" , 2]]
misulata	[ [ "米苏拉塔" , "利比亚" , 2]]
fumos	[ [ "福莫萨" , "阿根廷" , 2]]
芝加	[ [ "芝加哥" , "美国" , 2]]
kkqd	[ [ "库克群岛" , "大洋洲" , 1] , [ "库克群岛（新）" , "大洋洲" , 1]]
mufu	[ [ "姆富韦" , "赞比亚" , 2]]
jilon	[ [ "吉隆坡" , "马来西亚" , 2]]
利朗格弗	[ [ "利朗格弗" , "马拉维" , 2]]
酒泉	[ [ "酒泉" , "中国" , 2]]
瓜亚拉	[ [ "瓜亚拉梅林" , "玻利维亚" , 2]]
naoludao	[ [ "瑙鲁岛" , "瑙鲁" , 2]]
jdc	[ [ "基督城" , "新西兰" , 2]]
jdg	[ [ "吉大港" , "孟加拉" , 2]]
诺萨拉比奇	[ [ "诺萨拉比奇" , "哥斯达黎加" , 2]]
法属圭	[ [ "法属圭亚那" , "南美洲" , 1]]
anbatumai	[ [ "安巴图迈茵蒂" , "马达加斯加" , 2]]
lianyu	[ [ "涟源" , "中国" , 2] , [ "连云港" , "中国" , 2]]
aiergehada	[ [ "艾尔格哈达" , "也门" , 2]]
guipi	[ [ "桂平" , "中国" , 2]]
gelingland	[ [ "格陵兰（丹）" , "北美洲" , 1]]
aoerboyi	[ [ "奥尔波依" , "瓦努阿图" , 2]]
皮特凯	[ [ "皮特凯恩岛（英）" , "大洋洲" , 1]]
saiweil	[ [ "塞维利亚" , "西班牙" , 2]]
IRANSHAHR	[ ]
西	[ [ "西班牙" , "欧洲" , 1] , [ "西安" , "中国" , 2] , [ "西西里岛" , "意大利" , 2] , [ "西峡（大峡谷）" , "美国" , 2] , [ "西宁" , "中国" , 2] , [ "西昌" , "中国" , 2] , [ "西沙" , "中国" , 2] , [ "西藏" , "中国" , 2] , [ "西贡" , "越南" , 2] , [ "西兰岛" , "丹麦" , 2]]
亚的斯亚贝	[ [ "亚的斯亚贝巴" , "埃塞俄比亚" , 2]]
科洛尼	[ [ "科洛尼亚" , "乌拉圭" , 2]]
lianzh	[ [ "连州" , "中国" , 2]]
lanbalein	[ [ "兰巴雷内" , "加蓬" , 2]]
jdm	[ [ "加德满都" , "尼泊尔" , 2] , [ "加达梅斯老城" , "利比亚" , 2]]
asiwan	[ [ "阿斯旺" , "埃及" , 2]]
jdl	[ [ "基蒂拉" , "芬兰" , 2]]
兖州	[ [ "兖州" , "中国" , 2]]
阜康	[ [ "阜康" , "中国" , 2]]
aitufei	[ [ "艾图斐" , "所罗门群岛" , 2]]
贝尔法	[ [ "贝尔法斯特" , "英国" , 2]]
dinie	[ [ "第聂伯罗彼得罗夫斯克" , "乌克兰" , 2]]
jms	[ [ "佳木斯" , "中国" , 2]]
鹰潭	[ [ "鹰潭" , "中国" , 2]]
guiya	[ [ "贵阳" , "中国" , 2] , [ "圭亚那" , "南美洲" , 1]]
guadelu	[ [ "瓜德罗普（法）" , "北美洲" , 1] , [ "瓜德罗普(法属)" , "北美洲" , 1]]
spaeh	[ [ "圣皮埃尔和密克隆岛" , "北美洲" , 1]]
hskst	[ [ "哈萨克斯坦" , "亚洲" , 1]]
捷克	[ [ "捷克" , "欧洲" , 1]]
huaina	[ [ "淮南" , "中国" , 2]]
helon	[ [ "和龙" , "中国" , 2]]
石河	[ [ "石河子" , "中国" , 2]]
boduolige(	[ ]
jmd	[ [ "甲米岛" , "泰国" , 2]]
youningq	[ [ "尤宁群岛" , "圣文森特和格林纳丁斯" , 2]]
sseqd	[ [ "塞舌尔群岛" , "塞舌尔" , 2]]
瓦勒	[ [ "瓦勒米" , "巴拉圭" , 2]]
jmn	[ [ "吉梅内兹港" , "哥斯达黎加" , 2]]
andwm	[ [ "阿内蒂乌姆(岛)" , "瓦努阿图" , 2]]
武义	[ [ "武义" , "中国" , 2]]
yilis	[ [ "伊丽沙白港" , "南非" , 2]]
jny	[ [ "几内亚" , "非洲" , 1] , [ "几内亚比绍" , "非洲" , 1]]
lengshui	[ [ "冷水江" , "中国" , 2]]
kaiens	[ [ "凯恩斯" , "澳大利亚" , 2]]
weiwei	[ [ "维威" , "瑞士" , 2]]
baisha	[ [ "白沙" , "中国" , 2] , [ "白山" , "中国" , 2] , [ "白沙瓦" , "巴基斯坦" , 2]]
yilin	[ [ "伊林加" , "坦桑尼亚" , 2]]
bangguanu	[ [ "邦瓜努" , "科特迪瓦" , 2]]
guizh	[ [ "贵州" , "中国" , 2]]
qinglai	[ [ "清莱" , "泰国" , 2]]
sailal	[ [ "塞拉莱" , "阿曼" , 2] , [ "塞拉利昂" , "非洲" , 1]]
瓦努	[ [ "瓦努阿图" , "大洋洲" , 1]]
jnd	[ [ "加拿大" , "北美洲" , 1]]
奥尔塔	[ [ "奥尔塔" , "葡萄牙" , 2]]
迪拉伯土	[ [ "迪拉伯土" , "秘鲁" , 2]]
maliuj	[ [ "马六甲" , "马来西亚" , 2]]
jnl	[ [ "加那利群岛" , "西班牙" , 2] , [ "加那利群岛（西）" , "非洲" , 1]]
bozu	[ [ "博佐姆" , "中非" , 2]]
ledong	[ [ "乐东" , "中国" , 2]]
jnn	[ [ "杰内纳" , "苏丹" , 2]]
musi	[ [ "姆斯特丹" , "荷兰" , 2]]
shengfeil	[ [ "圣费利佩" , "佛得角" , 2]]
dinga	[ [ "定安" , "中国" , 2]]
banzhue	[ [ "班珠尔" , "冈比亚" , 2]]
balidao	[ [ "巴厘岛" , "印度尼西亚" , 2]]
bozh	[ [ "亳州" , "中国" , 2]]
阿尔	[ [ "阿尔卑斯山脉" , "奥地利" , 2] , [ "阿尔塔" , "挪威" , 2] , [ "阿尔山" , "中国" , 2] , [ "阿尔泰" , "蒙古" , 2] , [ "阿尔索" , "印度尼西亚" , 2] , [ "阿尔诺" , "马绍尔群岛" , 2] , [ "阿尔及尔" , "阿尔及利亚" , 2] , [ "阿尔巴哈" , "沙特阿拉伯" , 2] , [ "阿尔布克" , "也门" , 2] , [ "阿尔比纳" , "苏里南" , 2]]
bozi	[ [ "波兹南" , "波兰" , 2]]
shengfeie	[ [ "圣费尔南多" , "特立尼达和多巴哥" , 2]]
bayinguole	[ [ "巴音郭楞蒙古自治州" , "中国" , 2]]
绥芬	[ [ "绥芬河" , "中国" , 2]]
asandi	[ [ "阿散蒂区" , "加纳" , 2]]
shuangyas	[ [ "双鸭山" , "中国" , 2]]
luoxians	[ [ "罗先市" , "朝鲜" , 2]]
guanghan	[ [ "广汉" , "中国" , 2]]
andul	[ [ "安杜洛" , "安哥拉" , 2]]
罗瓦	[ [ "罗瓦涅米" , "芬兰" , 2]]
dingz	[ [ "定州" , "中国" , 2]]
dingx	[ [ "定西" , "中国" , 2]]
mandalege	[ [ "曼达勒戈壁" , "蒙古" , 2]]
aolinbob	[ [ "奥林波堡" , "巴拉圭" , 2]]
hannisi	[ [ "翰尼斯堡" , "南非" , 2]]
bulusilagu	[ [ "布鲁斯拉古纳" , "洪都拉斯" , 2]]
jpz	[ [ "柬埔寨" , "亚洲" , 1]]
圣尼古	[ [ "圣尼古拉" , "佛得角" , 2]]
gantuoke	[ [ "甘托克" , "锡金" , 2]]
奥尔堡	[ [ "奥尔堡" , "丹麦" , 2]]
aoerdasig	[ [ "奥尔达斯港" , "委内瑞拉" , 2]]
pulandia	[ [ "普兰店" , "中国" , 2]]
xinjian	[ [ "新疆" , "中国" , 2]]
阿尔塔米拉	[ [ "阿尔塔米拉" , "巴西" , 2]]
sugel	[ [ "苏格兰" , "英国" , 2]]
wotefu	[ [ "沃特福德" , "爱尔兰" , 2]]
xinjiap	[ [ "新加坡" , "亚洲" , 1] , [ "新加坡市" , "新加坡" , 2]]
twly	[ [ "台湾旅游" , "中国" , 2]]
qiandao	[ [ "千岛湖" , "中国" , 2]]
gaobei	[ [ "高碑店" , "中国" , 2]]
anbatongd	[ [ "安巴通德拉扎卡" , "马达加斯加" , 2]]
helong	[ [ "和龙" , "中国" , 2]]
foluoleisi	[ [ "佛罗雷斯" , "危地马拉" , 2] , [ "佛洛雷斯岛" , "葡萄牙" , 2]]
jiz	[ [ "济州岛" , "韩国" , 2] , [ "冀州" , "中国" , 2]]
shengant	[ [ "圣安唐" , "佛得角" , 2]]
jiy	[ [ "基亚特" , "以色列" , 2] , [ "济源" , "中国" , 2]]
jix	[ [ "鸡西" , "中国" , 2] , [ "基希讷乌" , "摩尔多瓦" , 2]]
jilid	[ [ "基利岛" , "马绍尔群岛" , 2]]
maliya	[ [ "玛丽亚温泉城" , "捷克" , 2]]
jiu	[ [ "旧金山" , "美国" , 2] , [ "九台" , "中国" , 2] , [ "酒泉" , "中国" , 2] , [ "九江" , "中国" , 2] , [ "九华山" , "中国" , 2] , [ "九寨沟" , "中国" , 2]]
jilib	[ [ "基里巴斯" , "大洋洲" , 1]]
jit	[ [ "基特韦" , "赞比亚" , 2]]
maansha	[ [ "马鞍山" , "中国" , 2]]
jis	[ [ "吉首" , "中国" , 2] , [ "基苏木" , "肯尼亚" , 2]]
chugefen	[ [ "楚格峰" , "奥地利" , 2]]
aerhes	[ [ "阿尔荷塞马" , "摩洛哥" , 2]]
jim	[ [ "即墨" , "中国" , 2] , [ "吉梅内兹港" , "哥斯达黎加" , 2]]
jin	[ [ "京都" , "日本" , 2] , [ "济南" , "中国" , 2] , [ "金华" , "中国" , 2] , [ "济宁" , "中国" , 2] , [ "集宁" , "中国" , 2] , [ "津市" , "中国" , 2] , [ "金坛" , "中国" , 2] , [ "缙云" , "中国" , 2] , [ "金边" , "柬埔寨" , 2] , [ "几内亚" , "非洲" , 1]]
jil	[ [ "吉隆坡" , "马来西亚" , 2] , [ "吉林" , "中国" , 2] , [ "基利岛" , "马绍尔群岛" , 2] , [ "基里巴斯" , "大洋洲" , 1] , [ "吉灵庙" , "缅甸" , 2]]
jij	[ [ "基加利" , "卢旺达" , 2] , [ "济金绍尔" , "塞内加尔" , 2]]
bopulade	[ [ "波普拉德" , "斯洛伐克" , 2]]
jig	[ [ "基戈马" , "坦桑尼亚" , 2]]
mulo	[ [ "穆隆达瓦" , "马达加斯加" , 2]]
阿富	[ [ "阿富汗" , "亚洲" , 1] , [ "阿富塔拉" , "所罗门群岛" , 2]]
