拼音	词汇一	词汇二	...	词汇n
luoatan	罗阿坦
xiangnong	香农
boliwaerzhou	玻利瓦尔州
moyou	莫尤
budan	不丹
esezwk	恩舍尔兹维克
bingdao	冰岛
anldpl	阿努拉德普勒
namibiya	纳米比亚
beiliu	北流
laofoye	老佛爷
saercibao	萨尔茨堡
butalitali	布塔里塔里
maolun	毛伦
shangyu	上虞
shiyan	十堰
xiaogan	孝感
jisumu	基苏木
duolunduo	多伦多
yiwu	义乌
bfjjsp	班夫及贾斯珀
geerfeituo	戈尔菲托
aerweisikeer	阿尔维斯克尔
awns	埃沃内斯
jnybs	几内亚比绍
luowaniemi	罗瓦涅米
lpds	兰佩杜萨
ddwmzghg	东帝汶民主共和国
bpld	波普拉德
ludun	鲁顿
limini	里米尼
aishen	埃申
libiliya	利比里亚
taicang	太仓
sbd	塞班岛
sbh	塞布哈
ganzhou	赣州
suwa	苏瓦
beimaliyaneiqundao	北马里亚那群岛
aolu	奥卢
sbl	圣保罗
kls(jlb)	库拉索(加勒比)
papiti	帕皮提
beidaihe	北戴河
sat	圣安唐
yamusukeluo	亚穆苏克罗
lijiana	里加纳
gaoer	高尔
lijiang	丽江
agenting	阿根廷
zhanghai	长海
suwu	宿雾
xibanyagang	西班牙港
bdlg(ms)	波多黎各(美属)
huaibei	淮北
sdgem	斯德哥尔摩
tanpeilei	坦佩雷
awla	阿瓦鲁阿
akerute	阿克茹特
macheng	麻城
aierbixiya	埃尔比希亚
dimishenwala	蒂米什瓦拉
aoladiya	奥拉迪亚
qiwang	奇旺
baoting	保亭
matadi	马塔迪
sglb	萨格勒布
bafuluode	巴夫洛德
lima	利马
aelye	埃尔雷亚尔
jiashan	嘉善
danzili	丹兹利
yili	伊犁
kukequndaoxin	库克群岛（新）
huangjinhaian	黄金海岸
yichang	宜昌
jiande	建德
fcyl	富查伊拉
ptkedy	皮特凯恩岛（英）
chuankuang	川圹
bogendi	博艮地
buyinuosiailisi	布宜诺斯艾利斯
alanuka	阿拉努卡
lusaien	卢塞恩
feicheng	肥城
dafeng	大丰
neigelagang	内格拉港
aehs	奥尔胡斯
flkf	法兰克福
aegs	埃尔贡山
jepp	居尔皮普
heshuandeliesi	荷属安的列斯
mosangbike	莫桑比克
xining	西宁
huaian	淮安
yima	义马
walemi	瓦勒米
bdlgm	波多黎各（美）
djdp	东加大埔
fushan	釜山
tabaka	塔巴卡
maluekadao	马略卡岛
kaiping	开平
hanguo	韩国
yamaijia	牙买加
aedsg	奥尔达斯港
alubahe	阿鲁巴（荷）
danjier	丹吉尔
aisibao	埃斯堡
tsmny	塔斯马尼亚
ouyun	欧云
puyang	濮阳
agewa	阿格瓦
tongjiang	同江
douyun	都匀
lplg	伦皮拉港
aerbaniya	阿尔巴尼亚
aeje	阿尔及尔
saerwaduo	萨尔瓦多
zhaoyuan	招远
bojiafuyuedueryisiteli	博加福约杜尔－伊斯特里
tuluzi	图卢兹
guayajier	瓜亚基尔
meihekou	梅河口
awny	埃维纳永
flls	佛罗雷斯	佛罗伦萨
wjbsk	维捷布斯克
banfujijiasipo	班夫及贾斯珀
banbali	班巴里
sikabole	斯卡伯勒
haiyang	海阳
sdygd	圣地亚哥岛
xingyi	兴义
haibei	海北
tieermeizi	铁尔梅兹
anda	安达
shishou	石首
dongyang	东阳
abeixie	阿贝歇
boao	博鳌
zhangchun	长春
lwepd	拉瓦尔品第
shs	圣何塞
lengshuijiang	冷水江
slwny	斯洛文尼亚
yushan	蔚山
bogeda	波哥大
dalian	大连
tunisi	突尼斯
hlbe	呼伦贝尔
buliesite	布列斯特
suihua	绥化
sfy	索非亚
shenqieqing	什切青
jialajiasi	加拉加斯
sgl	苏格兰
khtlyew	科赫特拉亚尔韦
sgd	塞格德
walunxiya	瓦伦西亚
apataji	阿帕塔基
malanre	马兰热
malakaer	马拉卡尔
smlns	圣马力诺市
ysfh	伊斯法罕
anbd	安诺本岛
wlsyftnf	瓦利斯与富图纳（法）
heerxinji	赫尔辛基
bjnfs	布基纳法索
qlmzl	乞力马扎罗
huaxin	华欣
shamen	厦门
bibulusizhubaile	比卜鲁斯（朱拜勒）
shz	石河子
bhagws	滨海奥果韦省
jingdou	京都
yuanjiang	沅江
lujianuo	卢加诺
gelinglan	格陵兰
andeneisi	安德内斯
beihaidao	北海道
xuanwei	宣威
bimini	比米尼
neiluobi	内罗毕
taiguo	泰国
guangyuan	广元
yintelaken	因特拉肯
hlgl	霍林郭勒
aebxy	埃尔比希亚
kel	库尔勒
boen	波恩
lasiweijiasi	拉斯维加斯
kes	凯恩斯
boer	博尔
shafuhaosen	沙芙豪森
aiergongshan	埃尔贡山
sdm	圣多美
kex	卡尔希
andongniaogang	安东尼奥港
youningqundao	尤宁群岛
plxas	帕拉西奥斯
alzmd	奥兰治蒙德
mianyang	绵阳
mishan	密山
dongying	东营
heilongjiang	黑龙江
aerbeisishanmai	阿尔卑斯山脉
dlzdgd	达兰扎达嘎德
ktmks	卡塔马卡省
tongxiang	桐乡
kfl	库弗拉
liuniwang(fashu)	留尼汪(法属)
jllbd	贾拉拉巴德
flmte	弗里曼特尔
reneiya	热内亚	热那亚
set	萨尔特
yadesiyabeiba	亚的斯亚贝巴
hlel	哈拉尔林
shouguang	寿光
zhaipuer	斋普尔
sfh	绥芬河
aidefu	埃德夫
bolishi	玻璃市
fnft	富纳富提
haidelaba	海得拉巴
nuwadibu	努瓦迪布
makekelajulebu	马可可拉俱乐部
bkfyde	巴卡夫约多尔
edkh	恩德卡汗
beilute	贝鲁特
bhapzm	贝亨奥普佐姆
kdh	坎大哈
leping	乐平
fuding	福鼎
kdn	卡杜纳
sed	萨尔岛
klpd	克莱佩达
nisi	尼斯
kdw	坎达武
niboer	尼泊尔
mdyld	米蒂亚罗岛
honghe	红河
wulagui	乌拉圭
baganga	巴岗阿
agela	阿哥拉	阿格拉
dunniecike	顿涅茨克
doulasi	都拉斯
duoha	多哈
kasama	卡萨马
mosuer	摩苏尔
jiatetu	佳特土
tunxi	屯溪
donggang	东港
klny	科洛尼亚	凯里尼亚
kasanei	卡萨内
baiduoa	拜多阿
shennongjia	神农架
shangqiu	商丘
sslnj	塞萨洛尼基
zhengzhou	郑州
duoge	多哥
gelimusai	格里姆塞
sailaliang	塞拉利昂
geermu	格尔木
bayinguolengmengguzizhizhou	巴音郭楞蒙古自治州
abtmyd	安巴图迈茵蒂
ktlk	科特赖克
abumusa	阿布穆萨
klmy	克拉玛依
kpd	开普敦
asdplad	阿斯蒂帕莱阿岛
wshy	乌斯怀亚
ydnxy	印度尼西亚
saigede	塞格德
dnblbdlfsk	第聂伯罗彼得罗夫斯克
daweide	达维德
bokasideertuoluo	博卡斯德尔托罗
sewd	萨尔瓦多
sqz	圣乔治
suer	素尔	苏尔
shengsaerwaduo	圣萨尔瓦多
afuhan	阿富汗
sqw	苏恰瓦
tanboer	坦博尔
dongbudiqu	东部地区
hdlb	海得拉巴
jiafusa	加夫萨
kspxw	康塞普西翁
sqq	什切青
nangong	南宫
bangte	邦特
jialua	加鲁阿
sewy	塞尔维亚
wuzhishan	五指山
hapayi	哈帕伊
wuxian	吴县
blglld	巴拉哥劳拉多
endepei	恩德培
kpl	坎帕拉	堪培拉
sll	塞拉莱	沙拉拉
niyajiala	尼亚加拉
gaoya	高亚
batiya	芭提雅
klkf	克拉克福	克拉科夫
kmx	库马西
weiershi	威尔士
sln	苏里南	索里诺
sls	塞卢斯	苏黎世	苏黎士
yisinei	伊斯那
aosuoernuo	奥索尔诺
nrly	尼日利亚
dubuluofunike	杜布罗夫尼克
meixian	梅县
wzbkst	乌兹别克斯坦
fmgst	法马古斯塔
kmd	科摩多
wjdg	瓦加杜古
bakelalan	巴克拉兰
hdls	洪都拉斯
keerduowa	科尔多瓦
lbeyn	卢布尔雅那
befst	贝尔法斯特
kmg	卡马圭
kml	喀麦隆	科摩罗
sld	索罗蒂	萨兰达
slg	斯利哥
saluonika	萨洛尼卡
shanghai	上海
knt	康诺特
kns	考纳斯
ystbe	伊斯坦布尔
kekesibazhaer	科克斯巴扎尔
bierdoudaleer	比尔都达勒尔
skl	苏克雷
deban	德班
kny	肯尼亚	科尼亚
yanbian	延边
kenakeli	科纳克里
skt	斯库台
abuludaisi	阿布鲁代斯
waerpalaisuo	瓦尔帕莱索
sjz	石家庄
kbkc	魁北克城
knj	卡纳角
astjc	埃斯特角城
mdlqdp	马德拉群岛（葡）
bulagansa	布拉干萨
yucheng	禹城
tekesihekaikesiqundao	特克斯和凯科斯群岛
haboluonei	哈博罗内
aboluo	阿波洛
zhuji	诸暨
luotadao	罗塔岛
kkd	科科岛
peilujia	佩鲁贾
quanzhou	泉州
snj	神农架
fukelanqundao	福克兰群岛
kkl	科科拉
ludelici	吕德里茨
snf	少女峰
ajiajiali	阿加贾里
gannan	甘南
klw	凯鲁万
klr	克卢日
klq	卡拉奇
fuzhou	抚州	福州
sml	索马里
smy	萨摩亚
smx	三门峡
sesb	萨尔斯堡
kle	科罗尔
awaw	阿武阿武
sly	沙捞越
slz	设拉子
klb	克里比	卡里巴	卡里波
kld	科罗岛
klm	克莱蒙
klp	卡鲁普	科伦坡
lanpini	蓝毗尼
hengbin	横滨
liwensidun	利文斯敦
klj	凯里郡	卡龙加
smd	苏梅岛	圣马丁
klgf	克拉根福
sws	苏瓦市
kangsitancha	康斯坦察
xiangtan	湘潭
bfllq	布法罗兰奇
abujia	阿布贾
bulao	布劳
xiamuni	夏慕尼
puning	普宁
nwkxt	努瓦克肖特
zqx	长崎县
hannuowei	汉诺威
fenghuang	凤凰
aisibiyue	埃斯比约
zhuozhou	涿州
jyg	嘉峪关
swy	沙娃伊
jyd	江原道
yangquan	阳泉
duominijia	多米尼加
mesbg	莫尔斯比港
bokeluo	博科罗
kalaqi	卡拉奇
mltd	马莱塔岛
hanzhong	汉中
lingshui	陵水
ystb	伊斯坦堡
syd	塞伊达
huazhou	化州
klgd	卡拉干达
awalei	阿瓦雷
aertamila	阿尔塔米拉
beijing	北京
ztd	长滩岛
shengduomingge	圣多明各
linxi	林西
fangchenggang	防城港
sys	双鸭山
syh	圣约翰
suqian	宿迁
talawa	塔拉瓦
baganni	巴感尼
jwg	鲸湾港
peipi	佩皮
lubomo	卢博莫
linyi	临沂
aeklk	阿尔卡雷克
mlqs	毛里求斯
szs	石嘴山
jinan	济南
xeht	锡尔赫特
taneineilifo	塔那那利佛
bahama	巴哈马
mnxjqd	马尼希基群岛
buyou	布尤
kldy	克罗地亚
algyn	阿拉瓜依纳
huilingdun	惠灵顿
peiqi	佩奇
saibandao	塞班岛
asstt	艾森史塔特
sse	塞舌尔
mlxy	马来西亚
jtw	基特韦
jtt	佳特土
yidou	宜都
beiergaomu	贝尔高姆
mlyq	马来奕区
ajiadezi	阿加德兹
wlmalq	文莱－穆阿拉区
fuquan	福泉
jsm	基苏木
baoleisi	包雷斯
shatealabo	沙特阿拉伯
kaimanqundaoying	开曼群岛（英）
fegn	费尔干纳
diaobingshan	调兵山
jingmen	荆门
mlwy	蒙罗维亚
lianzhou	连州
aidingbao	爱丁堡
anbosaili	安波塞利
jss	金沙萨
henan	河南
aftl	阿富塔拉
zhangtandao	长滩岛
sts	圣淘沙
renchuan	仁川
nuosalabiqi	诺萨拉比奇
babaduosi	巴巴多斯
xiangcheng	项城
huanglong	黄龙
nandaihe	南戴河
bhede	巴哈尔达尔
xwzmqq	西乌珠穆沁旗
wulanchabu	乌兰察布
aokelan	奥克兰
feisalabade	费萨拉巴德
mnsls	马尼萨莱斯
liancheng	连城
sihui	四会
jiuhuashan	九华山
latanajili	腊塔纳基里
zxs	直辖市
jsd	金斯敦
pingdingshan	平顶山
lanbaleinei	兰巴雷内
jse	杰索尔
kebosi	克波斯
sflp	圣费利佩
weinan	渭南
bangge	邦戈
neigelier	内格里尔
foluolunsa	佛罗伦萨
liezhidunshideng	列支敦士登
bfsm	巴富萨姆
chaerba	查尔巴
mengtelei	蒙特雷
kbs	克波斯
sngl	圣尼古拉
batongshi	巴统市
sulishi	苏黎世	苏黎士
datian	大田
zhaoqing	肇庆
aewske	阿尔维斯克尔
kekesiqundao	科科斯群岛
kbd	卡宾达	科布多
kbe	喀布尔
wajiadugu	瓦加杜古
litaowan	立陶宛
sfks	斯法克斯
danyang	丹阳
henei	河内
tbk	塔巴卡
anlu	安陆
tbd	停泊岛
tbe	坦博尔
lbxqd	拉巴西群岛
jiyate	基亚特
malibo	马里博
shihezi	石河子
shenyang	沈阳
honghu	洪湖
mashenhade	马什哈德
zhongwei	中卫
yslb	伊斯兰堡
jiexiu	介休
stwg	斯塔万格
pingxiang	凭祥	萍乡
hxqy	华欣七岩
lageageliao	拉戈阿格里奥
nijialagua	尼加拉瓜
niriliya	尼日利亚
bamenda	巴门达
shengtuolinidao	圣托里尼岛
hlyk	胡利亚卡
qixia	栖霞
snje	塞内加尔
duonigeer	多尼戈尔
kukequndao	库克群岛
tbt	通布图
yulin	榆林	玉林
weifang	潍坊
qianjiang	潜江
guanaha	瓜纳哈
fulajimier	弗拉基米尔
alutuya	阿鲁图亚
longquan	龙泉
weilakelala	维拉克拉拉
libanen	黎巴嫩
bangbu	蚌埠
balagui	巴拉圭
daman	达曼
anji	安吉
huangshan	黄山
maqidun	马其顿
bmlynqd	北马里亚那群岛
sfhs	沙芙豪森
jierjisisitan	吉尔吉斯斯坦
mikeluonixiya	密克罗尼西亚
sukelei	苏克雷
jiabate	贾巴特
aerbaihelei	阿尔拜赫雷
malabo	马拉博
changzhou	常州
mklnxy	密克罗尼西亚
taizigang	太子港
bole	博乐
boergeershan	博尔戈尔山
lechang	乐昌
boli	波里
telongmuse	特隆姆瑟
sncx	神奈川県
dahela	达赫拉
mubabanei	姆巴巴内
linken	林肯
gualier	瓜里尔
dusaierduofu	杜塞尔多夫
ktwz	卡托维兹
dongxing	东兴
linbei	林贝
meixi	美西
stsd	圣淘沙岛
luoding	罗定
manaosi	玛瑙斯
lisiben	里斯本
pengzhou	彭州
aermeiniya	阿尔梅尼亚
bfld	巴夫洛德
gaizhou	盖州
bxly	巴西利亚
alaierta	阿莱尔塔
wasa	瓦萨
niuaixin	纽埃（新）
jzg	九寨沟
jzd	济州岛
edcc	讹答刺城
aoerdasigang	奥尔达斯港
tingbodao	停泊岛
keqiabanba	科恰班巴
kulasuo(jialebi)	库拉索(加勒比)
dengta	灯塔
wanuatu	瓦努阿图
kabinda	卡宾达
shunhua	顺化
yangjiang	阳江
gaoping	高平
jyt	基亚特
aierguoleia	埃尔果累阿
yzme	伊兹密尔
gedebao	歌德堡	哥德堡
juerpipu	居尔皮普
zanbiya	赞比亚
bke	巴克尔
katumu	喀土穆
xierte	锡尔特
mtnkf	马提尼克（法）
kmsl	卡米什利
bjy	贝贾亚
jincheng	晋城
bjx	班加西
aqlb	安其拉贝
jiangxi	江西
aerdabuladao	阿尔达布拉岛
ruichang	瑞昌
wujiang	吴江
bjs	班加索	布加斯
aierlan	爱尔兰
beilingdi	北领地
bjn	比基尼
wanzhou	万州
jieneina	杰内纳
bjl	巴佳拉	本贾里
qingjin	清津
salarewo	萨拉热窝
malaixiya	马来西亚
dmswl	蒂米什瓦拉
shengduomeihepulinxibi	圣多美和普林西比
ajianiya	阿加尼亚
ptktd	彭特科特岛
temz	铁尔梅兹
huainan	淮南
gdlpf	瓜德罗普（法）
yuehanneisibao	约翰内斯堡
tmld	塔马林德
botou	泊头
kangnuote	康诺特
stjt	斯图加特
labate	拉巴特
hejin	河津
bmd	百慕大	巴门达
wtlz	乌特勒支
gbhg	哥本哈根
bmh	伯明翰
elebulu	厄勒布鲁
kaiensi	凯恩斯
blz	伯利兹
blt	博洛陶	贝鲁特
telisenbeige	特里森贝格
blr	布鲁日
wafangdian	瓦房店
bls	比利时	包雷斯	玻璃市
kandawu	坎达武
blx	伯拉西
haiyan	海盐
asaao	阿萨奥
blw	布拉瓦	巴拉望
bll	贝拉里	巴雷拉	巴拉莱
blm	博拉马
blj	布拉加
zhili	智利
niukasier	纽卡斯尔
weisaya	维萨亚
blb	贝莱比
ble	巴莱尔
zuailate	祖埃拉特
bld	布隆迪	布莱顿	巴厘岛	布莱德	北领地	布雷达
blg	巴拉圭	布拉格	布拉干	波来古
jiaonan	胶南
maokaidao	毛凯岛
luanping	滦平
bociwana	博茨瓦纳
labasi	拉巴斯
bojipuxi	波基普西
changji	昌吉
ninghai	宁海
asuosa	阿索萨
kabuer	喀布尔
bkw	布卡武	巴克乌
zek	扎尔卡
bkl	博科罗	博卡拉
bkm	巴库马
yseqdp	亚速尔群岛（葡）
basangkusu	巴桑库苏
zby	赞比亚
akeluodili	阿克罗蒂里
qinzhou	钦州
wujiaqu	五家渠
pds	平顶山
leshan	乐山
wdml	危地马拉
bns	博南萨
wdms	乌多姆塞
bnp	波纳佩
bnm	巴拿马
deyang	德阳
klksd	科里科斯岛
hah	胡安惠
xintai	新泰
klksg	卡拉克斯港
bolin	柏林
linghai	凌海
tlsbg	特里森贝格
bnc	贝宁城
wdlc	五大连池
lfnm	罗凡涅米
knlns	卡内洛内斯
zde	扎达尔
bandundu	班顿杜
bne	博奈尔
qiongzhong	琼中
baonajiaer	包纳加尔
bmq	贝米齐
awaladamu	阿瓦拉达姆
gesidalijia	哥斯达黎加
bmk	巴马科
bmn	巴莫尼	比米尼
jiutai	九台
changli	昌黎
stlj	斯特鲁加
wdly	维多利亚
bmy	巴米扬
jdmslc	加达梅斯老城
napd	南安普顿
duolun	多伦
xintianebao	新天鹅堡
ahld	奥赫里德
hcw	海参崴
liyang	溧阳
wugeku	吴哥窟
relangdao	热浪岛
telinidaheduobage	特立尼达和多巴哥
jinyun	缙云
nananpudun	南安普顿
chengdou	成都
banmeisuaote	班梅苏奥特
gelaci	格拉茨
akaliguala	阿卡里瓜拉
huanggang	黄冈
byybn	巴依亚比纳
benxi	本溪
bpl	柏培拉
boduoligemei	波多黎各（美）
kailiniya	凯里尼亚
bachu	巴楚
haicanwei	海参崴
hdb	海德堡
huzhimingshi	胡志明市
talin	塔林
hdj	海地角
bbl	班巴里
zhangjiakou	张家口
antaliya	安塔利亚
diwate	蒂瓦特
kemt	库尔马特
bbj	布巴基
kalupu	卡鲁普
mingguang	明光
qidong	启东
heneishi	河内市
lianyungang	连云港
heb	哈尔滨
xuancheng	宣城
halifakesi	哈利法克斯
huoniyala	霍尼亚拉
linxiang	临湘
lkywk	雷克亚未克	雷克雅未克
hes	赫尔松
keluodao	科罗岛
wtfd	沃特福德
zpe	斋普尔
hongdoulasi	洪都拉斯
aerhesaima	阿尔荷塞马
chuxiong	楚雄
pgb	帕古巴
meishan	眉山
lalibeila	拉利贝拉
wdhk	温得和克
yining	伊宁
baa	巴阿
weilagang	维拉港
honghaiyanan	红海沿岸
bilong	比隆
ningguo	宁国
zhixiashi	直辖市
walisiyufutunafa	瓦利斯与富图纳（法）
baihan	拜汉
batanjiafu	巴坦加弗
langzhong	阆中
nanfei	南非
gdlhl	瓜达拉哈拉
bdk	巴蒂卡
baojialiya	保加利亚
kasitawei	卡斯塔韦
zlt	扎兰屯
bdd	班顿杜	伯德岛
peipiniang	佩皮尼昂
maoliqiusi	毛里求斯
bdh	北戴河
shunde	顺德
boertawa	波尔塔瓦
boluosidao	波罗斯岛
kekela	科科拉
pfs	帕福斯
jinbian	金边
yibao	怡保
zmd	驻马店
bdw	巴德望
yyxz	依云小镇
swsthglnds	圣文森特和格林纳丁斯
estsd	厄斯特松德
bdy	芭堤雅
xinglong	兴隆
boaweisita	博阿维斯塔
fuxin	阜新
pdw	帕多瓦
nirier	尼日尔
dianbianfu	奠边府
hhy	胡胡伊
pen	帕尔努
lnwf	留尼旺（法）
hhz	皇后镇
bda	拜多阿
tonglu	桐庐
baierwa	拜尔瓦
laiyang	莱阳
qujing	曲靖
betw	波尔塔瓦
bolan	波兰
sumendaladao	苏门答腊岛
baimudaying	百慕大（英）
plk	帕伦克
baidikeluo	拜蒂克洛
plj	佩鲁贾
shizuishan	石嘴山
bfl	邦福拉
yuncheng	运城
pld	普兰店	彭林岛
maerduonaduo	马尔多纳多
abeimamahuanjiao	阿贝马马环礁
pls	帕劳市
yazhuang	芽庄
baimuda	百慕大
dhlkqd	达赫拉克群岛
asabu	阿萨布
bga	巴岗阿
beimiqi	贝米齐
bgb	比格贝
xisha	西沙
bgd	巴格达	波哥大	博艮地
